Geography,Geography,Gender (3a),Age (in single,2021,2016
01,Canada,  Men+,44,,
01,Canada,  Men+,    45 to 49 years,,
01,Canada,  Men+,45,,
01,Canada,  Men+,46,,
01,Canada,  Men+,47,,
01,Canada,  Men+,48,,
01,Canada,  Men+,49,,
01,Canada,  Men+,    50 to 54 years,,
01,Canada,  Men+,50,,
01,Canada,  Men+,51,,
01,Canada,  Men+,52,,
01,Canada,  Men+,53,,
01,Canada,  Men+,54,,
01,Canada,  Men+,    55 to 59 years,,
01,Canada,  Men+,55,,
01,Canada,  Men+,56,,
01,Canada,  Men+,57,,
01,Canada,  Men+,58,,
01,Canada,  Men+,59,,
01,Canada,  Men+,    60 to 64 years,,
01,Canada,  Men+,60,,
01,Canada,  Men+,61,,
01,Canada,  Men+,62,,
01,Canada,  Men+,63,,
01,Canada,  Men+,64,,
01,Canada,  Men+,  65 years and over,,
01,Canada,  Men+,    65 to 69 years,,
01,Canada,  Men+,65,,
01,Canada,  Men+,66,,
01,Canada,  Men+,67,,
01,Canada,  Men+,68,,
01,Canada,  Men+,69,,
01,Canada,  Men+,    70 to 74 years,,
01,Canada,  Men+,70,,
01,Canada,  Men+,71,,
01,Canada,  Men+,72,,
01,Canada,  Men+,73,,
01,Canada,  Men+,74,,
01,Canada,  Men+,    75 to 79 years,,
01,Canada,  Men+,75,,
01,Canada,  Men+,76,,
01,Canada,  Men+,77,,
01,Canada,  Men+,78,,
01,Canada,  Men+,79,,
01,Canada,  Men+,    80 to 84 years,,
01,Canada,  Men+,80,,
01,Canada,  Men+,81,,
01,Canada,  Men+,82,,
01,Canada,  Men+,83,,
01,Canada,  Men+,84,,
01,Canada,  Men+,    85 years and over,,
01,Canada,  Men+,      85 to 89 years,,
01,Canada,  Men+,85,,
01,Canada,  Men+,86,,
01,Canada,  Men+,87,,
01,Canada,  Men+,88,,
01,Canada,  Men+,89,,
01,Canada,  Men+,      90 to 94 years,,
01,Canada,  Men+,90,,
01,Canada,  Men+,91,,
01,Canada,  Men+,92,,
01,Canada,  Men+,93,,
01,Canada,  Men+,94,,
01,Canada,  Men+,      95 to 99 years,,
01,Canada,  Men+,95,,
01,Canada,  Men+,96,,
01,Canada,  Men+,97,,
01,Canada,  Men+,98,,
01,Canada,  Men+,99,,
01,Canada,  Men+,      100 years and over,,
01,Canada,  Men+,Average age,,
01,Canada,  Men+,Median age,,
01,Canada,  Women+,Total - Age,,
01,Canada,  Women+,  0 to 14 years,,
01,Canada,  Women+,    0 to 4 years,,
01,Canada,  Women+,      Under 1 year,,
01,Canada,  Women+,1,,
01,Canada,  Women+,2,,
01,Canada,  Women+,3,,
01,Canada,  Women+,4,,
01,Canada,  Women+,    5 to 9 years,,
01,Canada,  Women+,5,,
01,Canada,  Women+,6,,
01,Canada,  Women+,7,,
01,Canada,  Women+,8,,
01,Canada,  Women+,9,,
01,Canada,  Women+,    10 to 14 years,,
01,Canada,  Women+,10,,
01,Canada,  Women+,11,,
01,Canada,  Women+,12,,
01,Canada,  Women+,13,,
01,Canada,  Women+,14,,
01,Canada,  Women+,  15 to 64 years,,
01,Canada,  Women+,    15 to 19 years,,
01,Canada,  Women+,15,,
01,Canada,  Women+,16,,
01,Canada,  Women+,17,,
01,Canada,  Women+,18,,
01,Canada,  Women+,19,,
01,Canada,  Women+,    20 to 24 years,,
01,Canada,  Women+,20,,
01,Canada,  Women+,21,,
01,Canada,  Women+,22,,
01,Canada,  Women+,23,,
01,Canada,  Women+,24,,
01,Canada,  Women+,    25 to 29 years,,
01,Canada,  Women+,25,,
01,Canada,  Women+,26,,
01,Canada,  Women+,27,,
01,Canada,  Women+,28,,
01,Canada,  Women+,29,,
01,Canada,  Women+,    30 to 34 years,,
01,Canada,  Women+,30,,
01,Canada,  Women+,31,,
01,Canada,  Women+,32,,
01,Canada,  Women+,33,,
01,Canada,  Women+,34,,
01,Canada,  Women+,    35 to 39 years,,
01,Canada,  Women+,35,,
01,Canada,  Women+,36,,
01,Canada,  Women+,37,,
01,Canada,  Women+,38,,
01,Canada,  Women+,39,,
01,Canada,  Women+,    40 to 44 years,,
01,Canada,  Women+,40,,
01,Canada,  Women+,41,,
01,Canada,  Women+,42,,
01,Canada,  Women+,43,,
01,Canada,  Women+,44,,
01,Canada,  Women+,    45 to 49 years,,
01,Canada,  Women+,45,,
01,Canada,  Women+,46,,
01,Canada,  Women+,47,,
01,Canada,  Women+,48,,
01,Canada,  Women+,49,,
01,Canada,  Women+,    50 to 54 years,,
01,Canada,  Women+,50,,
01,Canada,  Women+,51,,
01,Canada,  Women+,52,,
01,Canada,  Women+,53,,
01,Canada,  Women+,54,,
01,Canada,  Women+,    55 to 59 years,,
01,Canada,  Women+,55,,
01,Canada,  Women+,56,,
01,Canada,  Women+,57,,
01,Canada,  Women+,58,,
01,Canada,  Women+,59,,
01,Canada,  Women+,    60 to 64 years,,
01,Canada,  Women+,60,,
01,Canada,  Women+,61,,
01,Canada,  Women+,62,,
01,Canada,  Women+,63,,
01,Canada,  Women+,64,,
01,Canada,  Women+,  65 years and over,,
01,Canada,  Women+,    65 to 69 years,,
01,Canada,  Women+,65,,
01,Canada,  Women+,66,,
01,Canada,  Women+,67,,
01,Canada,  Women+,68,,
01,Canada,  Women+,69,,
01,Canada,  Women+,    70 to 74 years,,
01,Canada,  Women+,70,,
01,Canada,  Women+,71,,
01,Canada,  Women+,72,,
01,Canada,  Women+,73,,
01,Canada,  Women+,74,,
01,Canada,  Women+,    75 to 79 years,,
01,Canada,  Women+,75,,
01,Canada,  Women+,76,,
01,Canada,  Women+,77,,
01,Canada,  Women+,78,,
01,Canada,  Women+,79,,
01,Canada,  Women+,    80 to 84 years,,
01,Canada,  Women+,80,,
01,Canada,  Women+,81,,
01,Canada,  Women+,82,,
01,Canada,  Women+,83,,
01,Canada,  Women+,84,,
01,Canada,  Women+,    85 years and over,,
01,Canada,  Women+,      85 to 89 years,,
01,Canada,  Women+,85,,
01,Canada,  Women+,86,,
01,Canada,  Women+,87,,
01,Canada,  Women+,88,,
01,Canada,  Women+,89,,
01,Canada,  Women+,      90 to 94 years,,
01,Canada,  Women+,90,,
01,Canada,  Women+,91,,
01,Canada,  Women+,92,,
01,Canada,  Women+,93,,
01,Canada,  Women+,94,,
01,Canada,  Women+,      95 to 99 years,,
01,Canada,  Women+,95,,
01,Canada,  Women+,96,,
01,Canada,  Women+,97,,
01,Canada,  Women+,98,,
01,Canada,  Women+,99,,
01,Canada,  Women+,      100 years and over,,
01,Canada,  Women+,Average age,,
01,Canada,  Women+,Median age,,
10,Newfoundland and Labrador, Total - Gender,Total - Age,,
10,Newfoundland and Labrador, Total - Gender,  0 to 14 years,,
10,Newfoundland and Labrador, Total - Gender,    0 to 4 years,,
10,Newfoundland and Labrador, Total - Gender,      Under 1 year,,
10,Newfoundland and Labrador, Total - Gender,1,,
10,Newfoundland and Labrador, Total - Gender,2,,
10,Newfoundland and Labrador, Total - Gender,3,,
10,Newfoundland and Labrador, Total - Gender,4,,
10,Newfoundland and Labrador, Total - Gender,    5 to 9 years,,
10,Newfoundland and Labrador, Total - Gender,5,,
10,Newfoundland and Labrador, Total - Gender,6,,
10,Newfoundland and Labrador, Total - Gender,7,,
10,Newfoundland and Labrador, Total - Gender,8,,
10,Newfoundland and Labrador, Total - Gender,9,,
10,Newfoundland and Labrador, Total - Gender,    10 to 14 years,,
10,Newfoundland and Labrador, Total - Gender,10,,
10,Newfoundland and Labrador, Total - Gender,11,,
10,Newfoundland and Labrador, Total - Gender,12,,
10,Newfoundland and Labrador, Total - Gender,13,,
10,Newfoundland and Labrador, Total - Gender,14,,
10,Newfoundland and Labrador, Total - Gender,  15 to 64 years,,
10,Newfoundland and Labrador, Total - Gender,    15 to 19 years,,
10,Newfoundland and Labrador, Total - Gender,15,,
10,Newfoundland and Labrador, Total - Gender,16,,
10,Newfoundland and Labrador, Total - Gender,17,,
10,Newfoundland and Labrador, Total - Gender,18,,
10,Newfoundland and Labrador, Total - Gender,19,,
10,Newfoundland and Labrador, Total - Gender,    20 to 24 years,,
10,Newfoundland and Labrador, Total - Gender,20,,
10,Newfoundland and Labrador, Total - Gender,21,,
10,Newfoundland and Labrador, Total - Gender,22,,
10,Newfoundland and Labrador, Total - Gender,23,,
10,Newfoundland and Labrador, Total - Gender,24,,
10,Newfoundland and Labrador, Total - Gender,    25 to 29 years,,
10,Newfoundland and Labrador, Total - Gender,25,,
10,Newfoundland and Labrador, Total - Gender,26,,
10,Newfoundland and Labrador, Total - Gender,27,,
10,Newfoundland and Labrador, Total - Gender,28,,
10,Newfoundland and Labrador, Total - Gender,29,,
10,Newfoundland and Labrador, Total - Gender,    30 to 34 years,,
10,Newfoundland and Labrador, Total - Gender,30,,
10,Newfoundland and Labrador, Total - Gender,31,,
10,Newfoundland and Labrador, Total - Gender,32,,
10,Newfoundland and Labrador, Total - Gender,33,,
10,Newfoundland and Labrador, Total - Gender,34,,
10,Newfoundland and Labrador, Total - Gender,    35 to 39 years,,
10,Newfoundland and Labrador, Total - Gender,35,,
10,Newfoundland and Labrador, Total - Gender,36,,
10,Newfoundland and Labrador, Total - Gender,37,,
10,Newfoundland and Labrador, Total - Gender,38,,
10,Newfoundland and Labrador, Total - Gender,39,,
10,Newfoundland and Labrador, Total - Gender,    40 to 44 years,,
10,Newfoundland and Labrador, Total - Gender,40,,
10,Newfoundland and Labrador, Total - Gender,41,,
10,Newfoundland and Labrador, Total - Gender,42,,
10,Newfoundland and Labrador, Total - Gender,43,,
10,Newfoundland and Labrador, Total - Gender,44,,
10,Newfoundland and Labrador, Total - Gender,    45 to 49 years,,
10,Newfoundland and Labrador, Total - Gender,45,,
10,Newfoundland and Labrador, Total - Gender,46,,
10,Newfoundland and Labrador, Total - Gender,47,,
10,Newfoundland and Labrador, Total - Gender,48,,
10,Newfoundland and Labrador, Total - Gender,49,,
10,Newfoundland and Labrador, Total - Gender,    50 to 54 years,,
10,Newfoundland and Labrador, Total - Gender,50,,
10,Newfoundland and Labrador, Total - Gender,51,,
10,Newfoundland and Labrador, Total - Gender,52,,
10,Newfoundland and Labrador, Total - Gender,53,,
10,Newfoundland and Labrador, Total - Gender,54,,
10,Newfoundland and Labrador, Total - Gender,    55 to 59 years,,
10,Newfoundland and Labrador, Total - Gender,55,,
10,Newfoundland and Labrador, Total - Gender,56,,
10,Newfoundland and Labrador, Total - Gender,57,,
10,Newfoundland and Labrador, Total - Gender,58,,
10,Newfoundland and Labrador, Total - Gender,59,,
10,Newfoundland and Labrador, Total - Gender,    60 to 64 years,,
10,Newfoundland and Labrador, Total - Gender,60,,
10,Newfoundland and Labrador, Total - Gender,61,,
10,Newfoundland and Labrador, Total - Gender,62,,
10,Newfoundland and Labrador, Total - Gender,63,,
10,Newfoundland and Labrador, Total - Gender,64,,
10,Newfoundland and Labrador, Total - Gender,  65 years and over,,
10,Newfoundland and Labrador, Total - Gender,    65 to 69 years,,
10,Newfoundland and Labrador, Total - Gender,65,,
10,Newfoundland and Labrador, Total - Gender,66,,
10,Newfoundland and Labrador, Total - Gender,67,,
10,Newfoundland and Labrador, Total - Gender,68,,
10,Newfoundland and Labrador, Total - Gender,69,,
10,Newfoundland and Labrador, Total - Gender,    70 to 74 years,,
10,Newfoundland and Labrador, Total - Gender,70,,
10,Newfoundland and Labrador, Total - Gender,71,,
10,Newfoundland and Labrador, Total - Gender,72,,
10,Newfoundland and Labrador, Total - Gender,73,,
10,Newfoundland and Labrador, Total - Gender,74,,
10,Newfoundland and Labrador, Total - Gender,    75 to 79 years,,
10,Newfoundland and Labrador, Total - Gender,75,,
10,Newfoundland and Labrador, Total - Gender,76,,
10,Newfoundland and Labrador, Total - Gender,77,,
10,Newfoundland and Labrador, Total - Gender,78,,
10,Newfoundland and Labrador, Total - Gender,79,,
10,Newfoundland and Labrador, Total - Gender,    80 to 84 years,,
10,Newfoundland and Labrador, Total - Gender,80,,
10,Newfoundland and Labrador, Total - Gender,81,,
10,Newfoundland and Labrador, Total - Gender,82,,
10,Newfoundland and Labrador, Total - Gender,83,,
10,Newfoundland and Labrador, Total - Gender,84,,
10,Newfoundland and Labrador, Total - Gender,    85 years and over,,
10,Newfoundland and Labrador, Total - Gender,      85 to 89 years,,
10,Newfoundland and Labrador, Total - Gender,85,,
10,Newfoundland and Labrador, Total - Gender,86,,
10,Newfoundland and Labrador, Total - Gender,87,,
10,Newfoundland and Labrador, Total - Gender,88,,
10,Newfoundland and Labrador, Total - Gender,89,,
10,Newfoundland and Labrador, Total - Gender,      90 to 94 years,,
10,Newfoundland and Labrador, Total - Gender,90,,
10,Newfoundland and Labrador, Total - Gender,91,,
10,Newfoundland and Labrador, Total - Gender,92,,
10,Newfoundland and Labrador, Total - Gender,93,,
10,Newfoundland and Labrador, Total - Gender,94,,
10,Newfoundland and Labrador, Total - Gender,      95 to 99 years,,
10,Newfoundland and Labrador, Total - Gender,95,,
10,Newfoundland and Labrador, Total - Gender,96,,
10,Newfoundland and Labrador, Total - Gender,97,,
10,Newfoundland and Labrador, Total - Gender,98,,
10,Newfoundland and Labrador, Total - Gender,99,,
10,Newfoundland and Labrador, Total - Gender,      100 years and over,,
10,Newfoundland and Labrador, Total - Gender,Average age,,
10,Newfoundland and Labrador, Total - Gender,Median age,,
10,Newfoundland and Labrador,  Men+,Total - Age,,
10,Newfoundland and Labrador,  Men+,  0 to 14 years,,
10,Newfoundland and Labrador,  Men+,    0 to 4 years,,
10,Newfoundland and Labrador,  Men+,      Under 1 year,,
10,Newfoundland and Labrador,  Men+,1,,
10,Newfoundland and Labrador,  Men+,2,,
10,Newfoundland and Labrador,  Men+,3,,
10,Newfoundland and Labrador,  Men+,4,,
10,Newfoundland and Labrador,  Men+,    5 to 9 years,,
10,Newfoundland and Labrador,  Men+,5,,
10,Newfoundland and Labrador,  Men+,6,,
10,Newfoundland and Labrador,  Men+,7,,
10,Newfoundland and Labrador,  Men+,8,,
10,Newfoundland and Labrador,  Men+,9,,
10,Newfoundland and Labrador,  Men+,    10 to 14 years,,
10,Newfoundland and Labrador,  Men+,10,,
10,Newfoundland and Labrador,  Men+,11,,
10,Newfoundland and Labrador,  Men+,12,,
10,Newfoundland and Labrador,  Men+,13,,
10,Newfoundland and Labrador,  Men+,14,,
10,Newfoundland and Labrador,  Men+,  15 to 64 years,,
10,Newfoundland and Labrador,  Men+,    15 to 19 years,,
10,Newfoundland and Labrador,  Men+,15,,
10,Newfoundland and Labrador,  Men+,16,,
10,Newfoundland and Labrador,  Men+,17,,
10,Newfoundland and Labrador,  Men+,18,,
10,Newfoundland and Labrador,  Men+,19,,
10,Newfoundland and Labrador,  Men+,    20 to 24 years,,
10,Newfoundland and Labrador,  Men+,20,,
10,Newfoundland and Labrador,  Men+,21,,
10,Newfoundland and Labrador,  Men+,22,,
10,Newfoundland and Labrador,  Men+,23,,
10,Newfoundland and Labrador,  Men+,24,,
10,Newfoundland and Labrador,  Men+,    25 to 29 years,,
10,Newfoundland and Labrador,  Men+,25,,
10,Newfoundland and Labrador,  Men+,26,,
10,Newfoundland and Labrador,  Men+,27,,
10,Newfoundland and Labrador,  Men+,28,,
10,Newfoundland and Labrador,  Men+,29,,
10,Newfoundland and Labrador,  Men+,    30 to 34 years,,
10,Newfoundland and Labrador,  Men+,30,,
10,Newfoundland and Labrador,  Men+,31,,
10,Newfoundland and Labrador,  Men+,32,,
10,Newfoundland and Labrador,  Men+,33,,
10,Newfoundland and Labrador,  Men+,34,,
10,Newfoundland and Labrador,  Men+,    35 to 39 years,,
10,Newfoundland and Labrador,  Men+,35,,
10,Newfoundland and Labrador,  Men+,36,,
10,Newfoundland and Labrador,  Men+,37,,
10,Newfoundland and Labrador,  Men+,38,,
10,Newfoundland and Labrador,  Men+,39,,
10,Newfoundland and Labrador,  Men+,    40 to 44 years,,
10,Newfoundland and Labrador,  Men+,40,,
10,Newfoundland and Labrador,  Men+,41,,
10,Newfoundland and Labrador,  Men+,42,,
10,Newfoundland and Labrador,  Men+,43,,
10,Newfoundland and Labrador,  Men+,44,,
10,Newfoundland and Labrador,  Men+,    45 to 49 years,,
10,Newfoundland and Labrador,  Men+,45,,
10,Newfoundland and Labrador,  Men+,46,,
10,Newfoundland and Labrador,  Men+,47,,
10,Newfoundland and Labrador,  Men+,48,,
10,Newfoundland and Labrador,  Men+,49,,
10,Newfoundland and Labrador,  Men+,    50 to 54 years,,
10,Newfoundland and Labrador,  Men+,50,,
10,Newfoundland and Labrador,  Men+,51,,
10,Newfoundland and Labrador,  Men+,52,,
10,Newfoundland and Labrador,  Men+,53,,
10,Newfoundland and Labrador,  Men+,54,,
10,Newfoundland and Labrador,  Men+,    55 to 59 years,,
10,Newfoundland and Labrador,  Men+,55,,
10,Newfoundland and Labrador,  Men+,56,,
10,Newfoundland and Labrador,  Men+,57,,
10,Newfoundland and Labrador,  Men+,58,,
10,Newfoundland and Labrador,  Men+,59,,
10,Newfoundland and Labrador,  Men+,    60 to 64 years,,
10,Newfoundland and Labrador,  Men+,60,,
10,Newfoundland and Labrador,  Men+,61,,
10,Newfoundland and Labrador,  Men+,62,,
10,Newfoundland and Labrador,  Men+,63,,
10,Newfoundland and Labrador,  Men+,64,,
10,Newfoundland and Labrador,  Men+,  65 years and over,,
10,Newfoundland and Labrador,  Men+,    65 to 69 years,,
10,Newfoundland and Labrador,  Men+,65,,
10,Newfoundland and Labrador,  Men+,66,,
10,Newfoundland and Labrador,  Men+,67,,
10,Newfoundland and Labrador,  Men+,68,,
10,Newfoundland and Labrador,  Men+,69,,
10,Newfoundland and Labrador,  Men+,    70 to 74 years,,
10,Newfoundland and Labrador,  Men+,70,,
10,Newfoundland and Labrador,  Men+,71,,
10,Newfoundland and Labrador,  Men+,72,,
10,Newfoundland and Labrador,  Men+,73,,
10,Newfoundland and Labrador,  Men+,74,,
10,Newfoundland and Labrador,  Men+,    75 to 79 years,,
10,Newfoundland and Labrador,  Men+,75,,
10,Newfoundland and Labrador,  Men+,76,,
10,Newfoundland and Labrador,  Men+,77,,
10,Newfoundland and Labrador,  Men+,78,,
10,Newfoundland and Labrador,  Men+,79,,
10,Newfoundland and Labrador,  Men+,    80 to 84 years,,
10,Newfoundland and Labrador,  Men+,80,,
10,Newfoundland and Labrador,  Men+,81,,
10,Newfoundland and Labrador,  Men+,82,,
10,Newfoundland and Labrador,  Men+,83,,
10,Newfoundland and Labrador,  Men+,84,,
10,Newfoundland and Labrador,  Men+,    85 years and over,,
10,Newfoundland and Labrador,  Men+,      85 to 89 years,,
10,Newfoundland and Labrador,  Men+,85,,
10,Newfoundland and Labrador,  Men+,86,,
10,Newfoundland and Labrador,  Men+,87,,
10,Newfoundland and Labrador,  Men+,88,,
10,Newfoundland and Labrador,  Men+,89,,
10,Newfoundland and Labrador,  Men+,      90 to 94 years,,
10,Newfoundland and Labrador,  Men+,90,,
10,Newfoundland and Labrador,  Men+,91,,
10,Newfoundland and Labrador,  Men+,92,,
10,Newfoundland and Labrador,  Men+,93,,
10,Newfoundland and Labrador,  Men+,94,,
10,Newfoundland and Labrador,  Men+,      95 to 99 years,,
10,Newfoundland and Labrador,  Men+,95,,
10,Newfoundland and Labrador,  Men+,96,,
10,Newfoundland and Labrador,  Men+,97,,
10,Newfoundland and Labrador,  Men+,98,,
10,Newfoundland and Labrador,  Men+,99,,
10,Newfoundland and Labrador,  Men+,      100 years and over,,
10,Newfoundland and Labrador,  Men+,Average age,,
10,Newfoundland and Labrador,  Men+,Median age,,
10,Newfoundland and Labrador,  Women+,Total - Age,,
10,Newfoundland and Labrador,  Women+,  0 to 14 years,,
10,Newfoundland and Labrador,  Women+,    0 to 4 years,,
10,Newfoundland and Labrador,  Women+,      Under 1 year,,
10,Newfoundland and Labrador,  Women+,1,,
10,Newfoundland and Labrador,  Women+,2,,
10,Newfoundland and Labrador,  Women+,3,,
10,Newfoundland and Labrador,  Women+,4,,
10,Newfoundland and Labrador,  Women+,    5 to 9 years,,
10,Newfoundland and Labrador,  Women+,5,,
10,Newfoundland and Labrador,  Women+,6,,
10,Newfoundland and Labrador,  Women+,7,,
10,Newfoundland and Labrador,  Women+,8,,
10,Newfoundland and Labrador,  Women+,9,,
10,Newfoundland and Labrador,  Women+,    10 to 14 years,,
10,Newfoundland and Labrador,  Women+,10,,
10,Newfoundland and Labrador,  Women+,11,,
10,Newfoundland and Labrador,  Women+,12,,
10,Newfoundland and Labrador,  Women+,13,,
10,Newfoundland and Labrador,  Women+,14,,
10,Newfoundland and Labrador,  Women+,  15 to 64 years,,
10,Newfoundland and Labrador,  Women+,    15 to 19 years,,
10,Newfoundland and Labrador,  Women+,15,,
10,Newfoundland and Labrador,  Women+,16,,
10,Newfoundland and Labrador,  Women+,17,,
10,Newfoundland and Labrador,  Women+,18,,
10,Newfoundland and Labrador,  Women+,19,,
10,Newfoundland and Labrador,  Women+,    20 to 24 years,,
10,Newfoundland and Labrador,  Women+,20,,
10,Newfoundland and Labrador,  Women+,21,,
10,Newfoundland and Labrador,  Women+,22,,
10,Newfoundland and Labrador,  Women+,23,,
10,Newfoundland and Labrador,  Women+,24,,
10,Newfoundland and Labrador,  Women+,    25 to 29 years,,
10,Newfoundland and Labrador,  Women+,25,,
